,query_id,device_classification_name,approval_number,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product
0,K212989,"stimulator, nerve, transcutaneous, over-the-counter",k212989,"low-frequency stimulator (model: ast-645, ast-646)",li  yang,li  yang,cassie  lee,882.5890,nuh,09/20/2021,11/22/2021,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212989.pdf,traditional,no,no
1,K172154,"incubator, neonatal",k172154,isolette 8000 plus,gale  winarsky,gale  winarsky,gale  winarsky,880.5400,fmz,07/17/2017,04/19/2018,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k172154.pdf,traditional,no,no
2,K192817,helicobacter pylori,k192817,"curian hpsa, curian analyzer",cathlena  martinez,cathlena  martinez,cathlena  martinez,866.3110,lyr,10/01/2019,03/13/2020,substantially equivalent     (sese),microbiology,microbiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192817.pdf,traditional,no,no
3,K193472,thoracolumbosacral pedicle screw system,k193472,orthocircle spine pedicle screw system,jack  mathews,jack  mathews,nathan  wright,888.3070,nkb,12/16/2019,02/13/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193472.pdf,traditional,no,no
4,K221240,radiological computer-assisted triage and notification software,k221240,briefcase,nimrod  epstein,nimrod  epstein,john j smith,892.2080,qas,04/29/2022,05/17/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221240.pdf,special,no,no
5,K231435,polymer patient examination glove,k231435,"kimtech™ polaris™ xtra nitrile powder-free exam gloves tested for use with chemotherapy drugs, opioid fentanyl citrate, simulated gastric acid and fentanyl in simulated gastric acid",kimberly  tempas,kimberly  tempas,amy  fowler,880.6250,lza,05/17/2023,08/28/2023,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231435.pdf,traditional,no,no
6,K180443,"marker, radiographic, implantable",k180443,tumark vision,burkhard  jakob,burkhard  jakob,burkhard  jakob,878.4300,neu,02/20/2018,03/22/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180443.pdf,special,no,no
7,K211304,"recorder, event, implantable cardiac, (with arrhythmia detection)",k211304,linq ii insertable cardiac monitor,andrea  artman,andrea  artman,andrea  artman,870.1025,mxd,04/29/2021,05/28/2021,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211304.pdf,special,no,no
8,K170623,"assay, glycosylated hemoglobin",k170623,ace hemoglobin a1c (hba1c) reagent,barbara  phillips,barbara  phillips,barbara  phillips,864.7470,lcp,03/01/2017,02/27/2018,substantially equivalent     (sese),hematology,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k170623.pdf,traditional,no,no
9,K211238,"cement, bone, vertebroplasty",k211238,"spinejack expansion kit, vertaplex radiopaque bone cement, vertaplex hv radiopaque bone cement",susanne  galin,susanne  galin,susanne  galin,888.3027,ndn,04/26/2021,06/25/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211238.pdf,traditional,no,no
10,K213998,automated radiological image processing software,k213998,cvi42 auto imaging software application,sydney  toutant,sydney  toutant,sydney  toutant,892.2050,qih,12/21/2021,07/28/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213998.pdf,traditional,no,no
11,K203273,"system, imaging, pulsed echo, ultrasonic",k203273,"fibroscan® family of products (models: 502 touch, 530 compact, 430 mini+, and 630)",karine  bonenfant,karine  bonenfant,zvi  ladin,892.1560,iyo,11/06/2020,03/25/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203273.pdf,traditional,no,no
12,K232471,"orthosis, spine, plate, laminoplasty, metal",k232471,vy spine™ vylam™ laminoplasty system,jordan  hendrickson,jordan  hendrickson,jordan  hendrickson,888.3050,nqw,08/16/2023,10/10/2023,substantially equivalent     (sese),orthopedic,orthopedic,,traditional,no,no
13,K190490,"enzymatic esterase--oxidase, cholesterol",k190490,vitros xt chemistry products trig-chol slides,alexandra  chamberlain,alexandra  chamberlain,alexandra  chamberlain,862.1175,chh,02/28/2019,03/27/2019,substantially equivalent     (sese),clinical chemistry,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190490.pdf,traditional,no,no
14,K210154,"system, imaging, pulsed doppler, ultrasonic",k210154,labat series diagnostic ultrasound system,jiang  xiaosan,jiang  xiaosan,jiang  xiaosan,892.1550,iyn,01/21/2021,07/30/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210154.pdf,traditional,no,no
15,K183217,light based over-the-counter hair removal,k183217,ipl hair removal device,aaron  zhai,aaron  zhai,jet  li,878.4810,oht,11/19/2018,02/15/2019,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183217.pdf,traditional,no,no
16,K193301,"driver, wire, and bone drill, manual",k193301,codiagnostix,angelika  hähnel,angelika  hähnel,jennifer m. jackson,872.4120,dzj,11/29/2019,06/21/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193301.pdf,traditional,no,no
17,K173881,"needle, hypodermic, single lumen",k173881,"unifine safecontrol 5mm x 30g, unifine safecontrol 8mm x 30g",darren  mansell,darren  mansell,patty  cronan,880.5570,fmi,12/21/2017,07/11/2018,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173881.pdf,traditional,no,no
18,K192763,"system, x-ray, tomography, computed",k192763,syngo.ct cascoring,tabitha  estes,tabitha  estes,tabitha  estes,892.1750,jak,09/30/2019,12/17/2019,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192763.pdf,traditional,no,no
19,K222794,"mixer, breathing gases, anesthesia inhalation",k222794,flowstar touch digital mixer flowmeter,lisa  baldus,lisa  baldus,daniel  kamm,868.5330,bzr,09/16/2022,07/28/2023,substantially equivalent     (sese),anesthesiology,anesthesiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222794.pdf,traditional,no,no
20,K181767,interventional fluoroscopic x-ray system,k181767,cios select,patricia d. jones,patricia d. jones,patricia d. jones,892.1650,owb,07/03/2018,08/17/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181767.pdf,traditional,no,no
21,K183000,"catheter, percutaneous",k183000,vipercath xc peripheral exchange catheter,erika  huffman,erika  huffman,erika  huffman,870.1250,dqy,10/30/2018,12/29/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183000.pdf,traditional,no,no
22,K212357,"gown, isolation, surgical",k212357,surgical isolation gown,cynthia  ye,cynthia  ye,cynthia  ye,878.4040,fyc,07/29/2021,01/20/2022,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212357.pdf,traditional,no,no
23,K211686,"ureteroscope and accessories, flexible/rigid",k211686,flexible video-choledo-cysto-ureteroscope system,yvonne  fei,yvonne  fei,nick  wang,876.1500,fgb,06/02/2021,02/22/2022,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211686.pdf,traditional,no,no
