,0
0,K203260
1,K222329
2,K221624
3,K192167
4,K193178
5,K201836
6,K213583
7,K181704
8,K183046
9,K212690
10,K192665
11,K210632
12,K190896
13,K232699
14,K213706
15,K211951
16,K181815
17,K180651
18,K230264
19,K221179
20,K201710
21,K172224
22,K223212
23,K213504
24,K212074
25,K210484
26,K181716
27,K212269
28,K190593
29,K221772
30,K222275
31,K211326
32,K183546
33,K200036
34,K223443
35,K230208
36,K191556
37,K223311
38,K183460
39,K200323
40,K212616
41,K220349
42,K201476
43,K222728
44,K180539
45,K221632
46,K221716
47,K210085
48,K183231
49,K203364
50,K201060
51,K203258
52,K201860
53,K230112
54,K230913
55,K191083
56,K213760
57,K210666
58,K223623
59,K181720
60,K223357
61,K211179
62,K213721
63,K212265
64,K203629
65,K210234
66,K223343
67,K210760
68,K223539
69,K191616
70,K223491
71,K201992
72,K231767
73,K231038
74,K220211
75,K213713
76,K222746
77,K192828
78,K211218
79,K221183
80,K212383
81,K220939
82,K193290
83,K222895
84,K221148
85,K200855
86,K192832
87,K222268
88,K222476
89,K202501
90,K210001
91,K192969
92,K213409
93,K200921
94,K193271
95,K222569
96,K213140
97,K193283
98,K173780
99,K190387
100,K221921
101,K180006
102,K183555
103,K230140
104,K221627
105,K200714
106,K212333
107,K231928
108,K182789
109,K180563
110,K230899
111,K223639
112,K193417
113,K212230
114,K222540
115,K211059
116,K230823
117,K192901
118,K180902
119,K220446
120,K222179
121,K212519
122,K203578
123,K201560
124,K221592
125,K202718
126,K202992
127,K230023
128,K193109
129,K220080
130,K210747
131,K201298
132,K171532
133,K221738
134,K221020
135,K220105
136,K212116
137,K211713
138,K192004
139,K223032
140,K201103
141,K182091
142,K223734
143,K220975
144,K230552
145,K213037
146,K221456
147,K211678
148,K222070
149,K222458
150,K200980
151,K211257
152,K230365
153,K213794
154,K191194
155,K220800
156,K191882
157,K220590
158,K181572
159,K191928
160,K230812
161,K213731
162,K180779
163,K213307
164,K193267
165,K182177
166,K213999
167,K200356
168,K223442
169,K223490
170,K213725
171,K213998
172,K231094
173,K192383
174,K223106
175,K223724
176,K203699
177,K203279
178,K203502
179,K213628
180,K210438
181,K223502
182,K202229
183,K222277
184,K201745
185,K221330
186,K221727
187,K193281
188,K200621
189,K192962
190,K200839
191,K192065
192,K214004
193,K201019
194,K222274
195,K211611
196,K221240
197,K203182
198,K221962
199,K211964
200,K223830
201,K203517
202,K221147
203,K201075
204,K220905
205,K212516
206,K201330
207,K222836
208,K214036
209,K192973
210,K202284
211,K230150
212,K213272
213,K223073
214,K221255
215,K223473
216,K202013
217,K210561
218,K221564
219,K200595
220,K212336
221,K230045
222,K210071
223,K193658
224,K213857
225,K214043
226,K220039
227,K223738
228,K201005
229,K182875
230,K223646
231,K223424
232,K220848
233,K211841
234,K200760
235,K222036
236,K173327
237,K223501
238,K220929
239,K183268
240,K193282
241,K203169
242,K221868
243,K193298
244,K200065
245,K191729
246,K220961
247,K210011
248,K183019
249,K223659
250,K213941
251,K212005
252,K230553
253,K230497
254,K213795
255,K213566
256,K192287
257,K182384
258,K210209
