Unnamed: 0|query_id|device_classification_name|approval_number|device_name|applicant_name|applicant_contact|correspondent_name|regulation_number|classification_product_code|day_received|month_received|year_received|decision_day|decision_month|decision_year|decision|regulation_medical_specialty|review_panel|summary_link|type|reviewed_by_third_party|combination_product|0|||||
4|K221240|radiological computer-assisted triage and notification software|k221240|briefcase|nimrod  epstein|nimrod  epstein|john j smith|892.208|qas|4|29|2022|5|17|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k221240.pdf|special|no|no|1
10|K213998|automated radiological image processing software|k213998|cvi42 auto imaging software application|sydney  toutant|sydney  toutant|sydney  toutant|892.205|qih|12|21|2021|7|28|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213998.pdf|traditional|no|no|2
103|K210807|system, image processing, radiological|k210807|flightplan for liver|ning  wen|ning  wen|ning  wen|892.205|llz|3|17|2021|10|22|2021|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k210807.pdf|traditional|no|no|3
168|K213409|computer, diagnostic, programmable|k213409|zeus system (zio watch)|vishal  kanani|vishal  kanani|vishal  kanani|870.1425|dqk|10|19|2021|7|19|2022|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213409.pdf|traditional|no|no|4
234|K230807|system, x-ray, tomography, computed|k230807|deep learning image reconstruction|he  haibo|he  haibo|he  haibo|892.175|jak|3|23|2023|4|20|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf23|k230807.pdf|special|no|no|5
239|K222277|radiological computer-assisted triage and notification software|k222277|briefcase|amalia  schreier|amalia  schreier|john j. smith|892.208|qas|7|29|2022|8|26|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k222277.pdf|special|no|no|6
242|K203169|system, x-ray, tomography, computed|k203169|revolution ascend|tomohiro  ito|tomohiro  ito|helen  peng|892.175|jak|10|23|2020|11|20|2020|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k203169.pdf|special|no|no|7
262|K203822|radiological computer assisted detection, diagnosis software for lesions suspicious for cancer|k203822|profound ai software v3.0|heather  reed|heather  reed|heather  reed|892.209|qdq|12|29|2020|3|12|2021|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k203822.pdf|special|no|no|8
289|K223425|system, image processing, radiological|k223425|md.ai viewer|leon  chen|leon  chen|leon  chen|892.205|llz|11|14|2022|2|10|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k223425.pdf|traditional|no|no|9
293|K232616|computer, diagnostic, programmable|k232616|volta af-xplorer|paola  milpied|paola  milpied|kristin zielinski duggan|870.1425|dqk|8|28|2023|9|27|2023|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:||www.accessdata.fda.gov|cdrh_docs|pdf23|k232616.pdf|special|no|no|10
303|K203279|system, nuclear magnetic resonance imaging|k203279|veuron-brain-mn1|dong hoon shin|dong hoon shin|john j smith|892.1|lnh|11|6|2020|7|12|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k203279.pdf|traditional|no|no|11
305|K183555|enzymatic method, creatinine|k183555|gem premier chemstat|gabriella  erdosy|gabriella  erdosy|gabriella  erdosy|862.1225|jfy|12|20|2018|2|16|2019|substantially equivalent     (sese)|clinical chemistry|clinical chemistry|https:||www.accessdata.fda.gov|cdrh_docs|pdf18|k183555.pdf|traditional|no|no|12
326|K221564|computer-assisted diagnostic software for lesions suspicious for cancer|k221564|brainomix 360 e-aspects|gwilym  owen|gwilym  owen|gwilym  owen|892.206|pok|5|31|2022|2|23|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k221564.pdf|traditional|no|no|13
329|K221309|device, automated cell-locating|k221309|ai100 with shonit|tathagato  rai dastidar|tathagato  rai dastidar|jinjie  hu|864.526|joy|5|5|2022|9|19|2023|substantially equivalent     (sese)|hematology|hematology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k221309.pdf|traditional|no|no|14
357|K192320|radiological computer-assisted prioritization software for lesions|k192320|healthcxr|flair  bar|flair  bar|flair  bar|892.208|qfm|8|26|2019|11|26|2019|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf19|k192320.pdf|traditional|no|no|15
377|K213275|automated radiological image processing software|k213275|echogo core (2.0)|jaco  jacobs|jaco  jacobs|jaco  jacobs|892.205|qih|9|30|2021|12|20|2021|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213275.pdf|traditional|no|no|16
383|K202847|system, image processing, radiological|k202847|accubrain|junbing  huang|junbing  huang|you  yijie|892.205|llz|9|25|2020|1|15|2021|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k202847.pdf|traditional|no|no|17
400|K201060|computer, diagnostic, programmable|k201060|cordiana dx16|johan  sandberg|johan  sandberg|johan  sandberg|870.1425|dqk|4|21|2020|11|16|2020|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k201060.pdf|traditional|no|no|18
410|K214036|automated radiological image processing software|k214036|aview|hyeyi  park|hyeyi  park|hye yi  park|892.205|qih|12|23|2021|12|23|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k214036.pdf|traditional|no|no|19
412|K200921|radiological computer-assisted triage and notification software|k200921|qer|pooja  rao|pooja  rao|pooja  rao|892.208|qas|4|6|2020|6|17|2020|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k200921.pdf|traditional|no|no|20
450|K222579|ventilatory effort recorder|k222579|belun sleep system bls-100|leung lap  wai lydia|leung lap  wai lydia|leung lap  wai lydia|868.2375|mnr|8|25|2022|2|23|2023|substantially equivalent     (sese)|anesthesiology|anesthesiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k222579.pdf|traditional|no|no|21
464|K230772|system, image processing, radiological|k230772|quantib prostate|floor van leeuwen|floor van leeuwen|floor van leeuwen|892.205|llz|3|21|2023|4|17|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf23|k230772.pdf|special|no|no|22
502|K214019|system, x-ray, tomography, computed|k214019|syngo.ct extended functionality|alaine  medio|alaine  medio|alaine  medio|892.175|jak|12|22|2021|1|20|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k214019.pdf|special|no|no|23
508|K213319|radiological computer-assisted prioritization software for lesions|k213319|viz aneurysm, viz anx|gregory  ramina|gregory  ramina|gregory  ramina|892.208|qfm|10|4|2021|2|18|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213319.pdf|traditional|no|no|24
532|K183489|system, image processing, radiological|k183489|d2p|kim  torluemke|kim  torluemke|kim  torluemke|892.205|llz|12|17|2018|8|29|2019|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf18|k183489.pdf|traditional|no|no|25
541|K223287|system, imaging, pulsed echo, ultrasonic|k223287|velacur|barry  allen|barry  allen|rhona  shanker|892.156|iyo|10|25|2022|4|20|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k223287.pdf|traditional|no|no|26
556|K200743|system, imaging, pulsed doppler, ultrasonic|k200743|vivid e80| vivid e90| vivid e95|tracey  ortiz|892.155|iyn|3|23|2020|7|23|2020|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k200743.pdf|traditional|no|no|27
576|K230552|system, image processing, radiological|k230552|mr dwi|flair measurement v1.0|nathalie  palumbo|nathalie  palumbo, john j smith|892.205|llz|2|28|2023|4|26|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf23|k230552.pdf|traditional|no|no|28
604|K172224|system, image processing, radiological|k172224|dtx studio diagnose|charlemagne  chua|charlemagne  chua|charlemagne  chua|892.205|llz|7|25|2017|1|11|2018|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf17|k172224.pdf|traditional|no|no|29
640|K223325|system, tomography, computed, emission|k223325|umi panorama|xin  gao|xin  gao|xin  gao|892.12|kps|10|31|2022|3|10|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k223325.pdf|traditional|no|no|30
650|K213357|transmitters and receivers, electrocardiograph, telephone|k213357|study watch with irregular pulse monitor (home), study watch with irregular pulse monitor|dinesh  puppala|dinesh  puppala|dinesh  puppala|870.292|dxh|10|12|2021|7|19|2022|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213357.pdf|traditional|no|no|31
693|K201670|system, x-ray, stationary|k201670|ysio x.pree|andrew  turner|andrew  turner|andrew  turner|892.168|kpr|6|19|2020|10|21|2020|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf20|k201670.pdf|traditional|no|no|32
704|K213731|system, tomography, computed, emission|k213731|efai cardiosuite spect myocardial perfusion agile workflows|cheng  ming-fong|cheng  ming-fong|cheng  ming-fong|892.12|kps|11|26|2021|5|31|2022|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf21|k213731.pdf|traditional|no|no|33
720|K221921|analyzer, medical image|k221921|dtx studio clinic 3.0|wim  vrydag|wim  vrydag|wim  vrydag|892.207|myn|7|1|2022|3|28|2023|substantially equivalent     (sese)|radiology|radiology|https:||www.accessdata.fda.gov|cdrh_docs|pdf22|k221921.pdf|traditional|no|no|34
