query_id|device_classification_name|approval_number|device_name|applicant_name|applicant_contact|correspondent_name|regulation_number|classification_product_code|month_received|day_received|year_received|month_day|day_month|decision_year|decision|regulation_medical_specialty|review_panel|summary_link |type|reviewed_by_third_party|combination_product|0
K221240|radiological computer-assisted triage and notification software|k221240|briefcase|nimrod  epstein|nimrod  epstein|john j smith|892.208|qas|4|29|2022|5|17|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221240.pdf|special|no|no|1
K213998|automated radiological image processing software|k213998|cvi42 auto imaging software application|sydney  toutant|sydney  toutant|sydney  toutant|892.205|qih|12|21|2021|7|28|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213998.pdf|traditional|no|no|2
K210807|system, image processing, radiological|k210807|flightplan for liver|ning  wen|ning  wen|ning  wen|892.205|llz|3|17|2021|10|22|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k210807.pdf|traditional|no|no|3
K213409|computer, diagnostic, programmable|k213409|zeus system (zio watch)|vishal  kanani|vishal  kanani|vishal  kanani|870.1425|dqk|10|19|2021|7|19|2022|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213409.pdf|traditional|no|no|4
K230807|system, x-ray, tomography, computed|k230807|deep learning image reconstruction|he  haibo|he  haibo|he  haibo|892.175|jak|3|23|2023|4|20|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230807.pdf|special|no|no|5
K222277|radiological computer-assisted triage and notification software|k222277|briefcase|amalia  schreier|amalia  schreier|john j. smith|892.208|qas|7|29|2022|8|26|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k222277.pdf|special|no|no|6
K203169|system, x-ray, tomography, computed|k203169|revolution ascend|tomohiro  ito|tomohiro  ito|helen  peng|892.175|jak|10|23|2020|11|20|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k203169.pdf|special|no|no|7
K203822|radiological computer assisted detection, diagnosis software for lesions suspicious for cancer|k203822|profound ai software v3.0|heather  reed|heather  reed|heather  reed|892.209|qdq|12|29|2020|3|12|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k203822.pdf|special|no|no|8
K223425|system, image processing, radiological|k223425|md.ai viewer|leon  chen|leon  chen|leon  chen|892.205|llz|11|14|2022|2|10|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223425.pdf|traditional|no|no|9
K232616|computer, diagnostic, programmable|k232616|volta af-xplorer|paola  milpied|paola  milpied|kristin zielinski duggan|870.1425|dqk|8|28|2023|9|27|2023|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k232616.pdf|special|no|no|10
K203279|system, nuclear magnetic resonance imaging|k203279|veuron-brain-mn1|dong hoon shin|dong hoon shin|john j smith|892.1|lnh|11|6|2020|7|12|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k203279.pdf|traditional|no|no|11
K183555|enzymatic method, creatinine|k183555|gem premier chemstat|gabriella  erdosy|gabriella  erdosy|gabriella  erdosy|862.1225|jfy|12|20|2018|2|16|2019|substantially equivalent     (sese)|clinical chemistry|clinical chemistry|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k183555.pdf|traditional|no|no|12
