query_id,product_code,device_class
K221240,qas,2
K213998,qih,2
K210807,llz,2
K213409,dqk,2
K230807,jak,2
K222277,qas,2
K203169,jak,2
K203822,qdq,2
K223425,llz,2
K232616,dqk,2
K203279,lnh,2
K183555,jfy,2
K221564,pok,2
K221309,joy,2
K192320,qfm,2
K213275,qih,2
K202847,llz,2
K201060,dqk,2
K214036,qih,2
K200921,qas,2
K222579,mnr,2
K230772,llz,2
K214019,jak,2
K213319,qfm,2
K183489,llz,2
K223287,iyo,2
K200743,iyn,2
K230552,llz,2
K172224,llz,2
K223325,kps,2
K213357,dxh,2
K201670,kpr,2
K213731,kps,2
K221921,myn,2
K171532,nha,2
K223646,qih,2
K220141,muj,2
K173636,llz,2
K213353,myn,2
K181502,dqk,2
K183268,jak,2
K190593,dqk,2
K230140,mwp,2
K191278,llz,2
K192901,qfm,2
K212516,qdb,2
K221727,jak,2
K223623,llz,2
K230112,jak,2
K221868,qfm,2
K200621,qih,2
K201411,qih,2
K180161,llz,2
K211156,llz,2
K223288,haw,2
K202229,llz,2
K203502,qih,2
K191171,qih,2
K212333,iyn,2
K221393,lnh,2
K212012,qih,2
K230812,dps,2
K201444,muj,2
K223424,jak,2
K211059,llz,2
K193087,qas,2
K222676,qih,2
K180343,pov,2
K203182,llz,2
K183648,ppu,2
K180539,osn,2
K212067,jak,2
K221772,gyd,2
K180651,jaa,2
K223357,pib,2
K193290,llz,2
K230337,qpf,2
K183046,jak,2
K221179,olz,2
K202501,llz,2
K210999,llz,2
K220813,qkb,2
K223347,qju,2
K220940,qih,2
K213737,llz,2
K210760,jak,2
K221592,oeb,2
K201020,qas,2
K221624,pok,2
K220439,qas,2
K210438,iyn,2
K210666,myn,2
K213583,lnh,2
K193289,jak,2
K192383,qas,2
K222361,jak,2
K210791,qih,2
K183182,qfm,2
K192167,qas,2
K230913,qih,2
K221369,obr,U
K190424,qas,2
K180779,cbk,2
K222836,nha,2
K223593,gcj,2
K202284,muj,2
K231143,qnp,2
K192962,llz,2
K222755,lnh,2
K223659,llz,2
K213999,jak,2
K223830,iyn,2
K220590,llz,2
K203696,llz,2
K221147,iyn,2
K200899,llz,2
K230074,qfm,2
K230223,jak,2
K201005,qkq,2
K213794,dqd,2
K211326,qnp,2
K201232,llz,2
K202013,qih,2
K223523,lnh,2
K210011,mqc,U
K220961,jak,2
K212616,pok,2
K232526,jaa,2
K191194,qer,2
K203744,qih,2
K220905,olo,2
K220815,qih,2
K223443,qfm,2
K192665,prh,2
K211713,llz,2
K203260,qas,2
K231837,qas,2
K182705,lzo,2
K213713,jak,2
K203320,ekx,1
K213760,kgi,2
K201476,qcc,2
K193178,kps,2
K223734,pgw,2
K223502,llz,2
K183231,lnh,2
K211678,qdq,2
K200036,dps,2
K200855,qas,2
K212116,qkb,2
K192828,jak,2
K222569,ehd,2
K192304,llz,2
K223442,lnh,2
K232699,qye,2
K213941,qfm,2
K223268,qih,2
K221020,ezl,2
K213857,pja,2
K231748,kps,2
K221148,iyn,2
K211161,qih,2
K222781,llz,2
K231094,qas,2
K191647,qih,2
K183549,jgs,2
K223547,kps,2
K173327,jil,2
K202404,qih,2
K220080,qfm,2
K200569,muj,2
K223738,gxy,2
K230346,iyn,2
K220800,iyn,2
K223387,iyn,2
K202713,mwp,2
K201019,qdq,2
K210484,mxd,2
K202700,qkb,2
K201330,pdu,2
K223539,olz,2
K191688,llz,2
K222174,qih,2
K213566,qfm,2
K220039,llz,2
K211541,qdq,2
K213140,llz,2
K201745,jak,2
K223490,llz,2
K193097,lnh,2
K220437,llz,2
K200232,qih,2
K192854,qdq,2
K200980,iyo,2
K230096,qdq,2
K214004,fmi,2
K190072,qas,2
K193283,qih,2
K222728,muj,2
K211257,llz,2
K171720,omb,2
K193306,llz,2
K191729,occ,2
K230039,qih,2
K190387,muj,2
K214043,qfm,2
K213706,qih,2
K192969,qih,2
K203060,hqc,2
K200839,qqy,2
K193271,qfm,2
K210645,muj,2
K230023,qkb,2
K200595,joy,2
K223343,lnh,2
K192832,jak,2
K221762,qih,2
K230045,qih,2
K211060,fya,2
K200695,mnr,2
K223028,jak,2
K230685,qkb,2
K222070,owb,2
K190738,phx,2
K221553,oht,2
K212230,llz,2
K200905,qfm,2
K213776,pcs,2
K213037,pib,2
K191616,oas,2
K230208,lnh,2
K211379,muj,2
K182384,jfy,2
K223608,chl,2
K210234,occ,2
K221330,qas,2
K211964,kps,2
K182177,qas,2
K222476,llz,2
K221106,llz,2
K200603,llz,2
K220332,lnh,2
K201836,jak,2
K210237,qas,2
K212074,llz,2
K221599,iyn,2
K223073,drg,2
K213721,qas,2
K223042,qas,2
K192004,mwi,2
K180432,dqk,2
K220928,myn,2
K220848,iyn,2
K210001,kps,2
K223106,qih,2
