query_id,product_code,device_class,medical_specialty,third_party_review,gmp_exempt_flag,implant_flag,life_sustain_flag,target_area,technical_method,physical_state,definition
K221240,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K213998,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K210807,llz,2,RA,Y,N,N,N,,,,
K213409,dqk,2,CV,Y,N,N,N,,,,
K230807,jak,2,RA,Y,N,N,N,,,,
K222277,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K203169,jak,2,RA,Y,N,N,N,,,,
K203822,qdq,2,RA,N,N,N,N,Anatomical sites that may contain lesions suspicious for cancer.,Analyzes radiological images using machine learning algorithms to detect and diagnose lesions suspicious for cancer.,Software device that receives radiological images as an input and provides the user with the identification and characterization of suspicious lesions as an output.,A radiological computer assisted detection and diagnostic software for suspected lesions is an image processing device intended to aid in the detection  localization  and characterization of lesions suspicious for cancer on acquired medical images (e.g.  mammography   MR  CT  ultrasound  radiography). The device detects  identifies and characterizes lesions suspicious for cancer based on features or information extracted from the images  and may provide information about the presence  location  and characteristics of the lesion to the user. Primary diagnostic and patient management decisions are made by the clinical user.
K223425,llz,2,RA,Y,N,N,N,,,,
K232616,dqk,2,CV,Y,N,N,N,,,,
K203279,lnh,2,RA,Y,N,N,N,,,,
K183555,jfy,2,CH,Y,N,N,N,,,,
K221564,pok,2,RA,N,N,N,N,Lesions,The device characterizes lesions based on features or information extracted from the images and provides information about the lesion(s) to the user.,Software,Assist users in characterizing lesions identified on acquired medical images
K221309,joy,2,HE,Y,N,N,N,,,,
K192320,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K213275,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K202847,llz,2,RA,Y,N,N,N,,,,
K201060,dqk,2,CV,Y,N,N,N,,,,
K214036,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K200921,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K222579,mnr,2,AN,Y,N,N,N,,,,
K230772,llz,2,RA,Y,N,N,N,,,,
K214019,jak,2,RA,Y,N,N,N,,,,
K213319,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K183489,llz,2,RA,Y,N,N,N,,,,
K223287,iyo,2,RA,Y,N,N,N,,,,
K200743,iyn,2,RA,Y,N,N,N,,,,
K230552,llz,2,RA,Y,N,N,N,,,,
K172224,llz,2,RA,Y,N,N,N,,,,
K223325,kps,2,RA,Y,N,N,N,,,,
K213357,dxh,2,CV,Y,N,N,N,,,,
K201670,kpr,2,RA,Y,N,N,N,,,,
K213731,kps,2,RA,Y,N,N,N,,,,
K221921,myn,2,RA,N,N,N,N,,,,For information on the MYN device  please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers
K171532,nha,2,DE,N,N,Y,N,,,,To be used in conjunction with an endosseous dental implant fixture to aid in prosthetic rehabilitation.
K223646,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K220141,muj,2,RA,N,N,N,N,,,,
K173636,llz,2,RA,Y,N,N,N,,,,
K213353,myn,2,RA,N,N,N,N,,,,For information on the MYN device  please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers
K181502,dqk,2,CV,Y,N,N,N,,,,
K183268,jak,2,RA,Y,N,N,N,,,,
K190593,dqk,2,CV,Y,N,N,N,,,,
K230140,mwp,2,RA,Y,N,N,N,,,,
K191278,llz,2,RA,Y,N,N,N,,,,
