,query_id,device,generic_name,applicant,pma_number,date_received,decision_date,product_code,docket_number,notice_date,advisory_committee,expedited_review_granted,combination_product,approval_order,summary,labeling,supplements,recalls
0,P040040,amplatzer muscular vsd occluder,transcatheter septal occluder,"abbott medical177 county road b eastst. paul, mn 55117",p040040,09/30/2004,09/07/2007,mlv,07m-0446,11/19/2007,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf4/p040040b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s012 s013 s014 s015 s016 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045,
1,P200031,organ care system (ocs™) liver,normothermic machine perfusion system for the preservation of donor livers prior to transplantation,"transmedics, inc.200 minuteman roadsuite 302andover, ma 01810",p200031,06/30/2020,09/28/2021,qqk,,,gastroenterology/urology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf20/p200031b.pdf,labelinglabeling part 2,s001 s002 s003 s004,
2,P200007,heartsync multifunction disposable single-use aed defibrillator pads,automated external defibrillators (non-wearable),"graphic controls d.b.a. vermed400 exchange streetbuffalo, ny 14204",p200007,02/03/2020,06/23/2023,mkj,23m-3187,08/04/2023,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf20/p200007b.pdf,labeling,,
3,P090018,esteem totally implantable hearing system,"implant, hearing, active, middle ear, totally implanted","envoy medical corporation4875 white bear parkwaywhite bear lake, mn 55110",p090018,08/04/2009,03/17/2010,oaf,10m-0244,05/20/2010,ear nose & throat,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf9/p090018b.pdf,labeling,s001 s002 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s016 s017 s018 s019 s020 s021 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s041,cdrh recalls
4,P100018,pipeline embolization device,intracranial aneurysm flow diverter,"micro therapeutics, inc. d/b/a ev3 neurovascular9775 toledo wayirvine, ca 92618",p100018,05/18/2010,04/06/2011,out,11m-0284,04/20/2011,neurology,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf10/p100018b.pdf,labeling,s001 s003 s004 s005 s006 s007 s008 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042,cdrh recalls
5,P200037,assure wearable cardioverter defibrillator (wcd) system,wearable automated external defibrillator,"kestra medical technologies, inc.3933 lake washington boulevard, n.e.suite 200kirkland, wa 98033",p200037,08/13/2020,07/27/2021,mvk,21m-0820,07/29/2021,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf20/p200037b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010,
6,P180011,eluvia drug-eluting vascular stent system,"stent, superficial femoral artery, drug-eluting","boston scientific corp.one scimed placemaple grove, mn 55311",p180011,04/13/2018,09/18/2018,niu,18m-3548,09/20/2018,cardiovascular,no,yes,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf18/p180011b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s056,
7,P140016,zenith alpha thoracic endovascular graft,"system, endovascular graft, aortic aneurysm treatment",cook medical incorporatedsandet 6bjaeverskov 4632,p140016,08/13/2014,09/15/2015,mih,15m-3377,10/15/2015,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf14/p140016b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006,cdrh recalls
8,P130013,watchman left atrial appendage (laa) closure technology,"system, appendage closure, left atrial","boston scientific corp.one scimed placemaple grove, mn 55311-1566",p130013,05/14/2013,03/13/2015,ngv,15m-0910,03/13/2015,cardiovascular,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130013b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s022 s023 s024 s025 s026 s027 s028 s029 s030 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058,cdrh recalls
9,P950018,perfluoron (purified perfluoro-n-octane liquid),"fluid, intraocular","alcon laboratories6201 south freeway r3-48fort worth, tx 76134",p950018,04/28/1995,02/29/1996,lwl,96m-0233,07/18/1996,ophthalmic,yes,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s013 s014 s015 s016 s018 s019 s020 s021 s023 s024,
